,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
10181,Last Price(Baht),4.30,3.46,1.66,2.04,1.02,TCMC,TCM Corp PCL,Consumer Cyclical,Textile Manufacturing,1541.666,4.46,2.02,THB
10182,Market Cap.,2187.81,2640.63,1266.89,1556.93,778.47,TCMC,TCM Corp PCL,Consumer Cyclical,Textile Manufacturing,1541.666,4.46,2.02,THB
10183,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TCMC,TCM Corp PCL,Consumer Cyclical,Textile Manufacturing,1541.666,4.46,2.02,THB
10184,P/E,11.64,15.55,8.60,10.57,,TCMC,TCM Corp PCL,Consumer Cyclical,Textile Manufacturing,1541.666,4.46,2.02,THB
10185,P/BV,1.58,1.77,0.44,0.62,0.31,TCMC,TCM Corp PCL,Consumer Cyclical,Textile Manufacturing,1541.666,4.46,2.02,THB
10186,Book Value per share (Baht),2.72,2.93,3.74,3.27,3.28,TCMC,TCM Corp PCL,Consumer Cyclical,Textile Manufacturing,1541.666,4.46,2.02,THB
10187,Dvd. Yield(%),2.12,2.31,2.41,4.41,,TCMC,TCM Corp PCL,Consumer Cyclical,Textile Manufacturing,1541.666,4.46,2.02,THB
10188,Assets,,,1827.97,1886.24,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10189,Liabilities,,,900.72,958.36,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10190,Equity,,,921.29,922.42,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10191,Paid-up Capital,,,340.00,340.00,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10192,Revenue,,,1667.67,1846.27,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10193,Net Profit,,,113.53,115.69,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10194,EPS (Baht),,,0.19,0.17,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10195,ROA(%),,,9.10,7.84,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10196,ROE(%),,,16.37,12.55,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10197,Net Profit Margin(%),,,6.81,6.27,,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10198,Statistics as of,,,28/12/2018,30/12/2019,12/05/2020,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10199,Last Price(Baht),,,1.79,2.28,2.18,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10200,Market Cap.,,,1217.20,1550.40,1482.40,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10201,F/S Period (As of date),,,30/09/2018,30/09/2019,31/12/2019,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10202,P/E,,,10.23,15.26,12.81,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10203,P/BV,,,1.37,1.69,1.61,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10204,Book Value per share (Baht),,,1.31,1.35,1.36,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10205,Dvd. Yield(%),,,,6.58,5.05,TEAMG,Team Consulting Engineering and Management PCL,Industrials,Engineering & Construction,1536.8,5.53,2.26,THB
10206,Assets,1010.00,1006.09,1767.44,1478.94,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10207,Liabilities,310.52,302.90,984.14,687.86,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10208,Equity,699.49,703.18,783.29,791.08,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10209,Paid-up Capital,637.06,637.06,637.06,637.06,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10210,Revenue,1208.63,1250.60,1929.47,2192.05,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10211,Net Profit,-8.72,3.55,14.66,7.60,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10212,EPS (Baht),-0.01,0.01,0.02,0.01,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10213,ROA(%),-1.19,0.57,1.43,0.43,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10214,ROE(%),-1.24,0.51,1.97,0.97,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10215,Net Profit Margin(%),-0.72,0.28,0.76,0.35,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10216,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10217,Last Price(Baht),1.53,1.48,0.89,0.87,0.63,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10218,Market Cap.,974.71,942.85,566.99,554.25,401.35,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10219,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10220,P/E,,31.59,,6.92,52.82,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10221,P/BV,1.45,1.34,0.84,0.68,0.51,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10222,Book Value per share (Baht),1.06,1.10,1.06,1.27,1.24,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10223,Dvd. Yield(%),,,,,,TEAM,Team Precision PCL,Technology,Electronic Components,592.469,-,0.93,THB
10224,Assets,700.95,709.69,728.15,779.97,852.55,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10225,Liabilities,344.38,319.30,314.47,333.46,408.52,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10226,Equity,356.57,390.39,413.68,446.51,419.04,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10227,Paid-up Capital,140.00,154.00,154.00,154.00,154.00,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10228,Revenue,558.02,634.59,648.28,696.85,164.71,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10229,Net Profit,26.91,35.37,48.30,60.93,12.57,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10230,EPS (Baht),0.13,0.11,0.16,0.20,0.04,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10231,ROA(%),6.68,7.40,9.44,10.89,8.53,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10232,ROE(%),10.41,9.47,12.01,14.17,12.10,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10233,Net Profit Margin(%),4.82,5.57,7.45,8.74,7.63,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10234,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10235,Last Price(Baht),4.06,2.60,2.00,2.50,2.38,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10236,Market Cap.,1136.80,800.80,616.00,770.00,733.04,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10237,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10238,P/E,31.73,39.31,10.79,12.77,14.15*,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10239,P/BV,3.23,2.16,1.53,1.77,1.64,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10240,Book Value per share (Baht),1.26,1.21,1.31,1.41,1.45,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10241,Dvd. Yield(%),,0.19,4.06,3.90,5.46,TM,Techno Medical PCL,Healthcare,Medical Distribution,757.68,3.96,2.46,THB
10242,Assets,361.15,333.19,414.52,423.98,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10243,Liabilities,123.98,125.29,223.70,244.15,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10244,Equity,237.17,207.89,190.82,180.00,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10245,Paid-up Capital,167.86,167.86,167.86,167.86,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10246,Revenue,475.90,403.88,396.07,394.25,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10247,Net Profit,4.68,-25.24,-17.07,-8.38,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10248,EPS (Baht),0.01,-0.04,-0.03,-0.01,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10249,ROA(%),2.50,-6.69,-3.88,-0.28,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10250,ROE(%),1.95,-11.34,-8.56,-4.52,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10251,Net Profit Margin(%),0.98,-6.25,-4.31,-2.13,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10252,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10253,Last Price(Baht),1.41,0.98,0.75,0.69,0.64,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10254,Market Cap.,946.73,658.01,503.58,463.29,429.72,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10255,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10256,P/E,308.05,,,,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10257,P/BV,4.17,3.06,2.69,2.58,2.39,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10258,Book Value per share (Baht),0.34,0.32,0.28,0.27,0.27,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10259,Dvd. Yield(%),1.06,0.61,,,,TMI,Teera-Mongkol Industry PCL,Industrials,Electrical Equipment & Parts,470.009,-,0.7,THB
10260,Assets,2596.26,2763.77,2723.27,2572.99,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10261,Liabilities,261.04,360.21,318.84,290.68,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10262,Equity,2238.77,2310.07,2310.64,2265.48,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10263,Paid-up Capital,108.00,108.00,108.00,108.00,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10264,Revenue,1375.68,1056.16,1027.74,947.61,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10265,Net Profit,307.20,129.30,80.74,74.60,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10266,EPS (Baht),2.84,1.20,0.75,0.69,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10267,ROA(%),14.26,5.54,3.26,2.94,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10268,ROE(%),14.14,5.69,3.49,3.26,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10269,Net Profit Margin(%),22.33,12.24,7.86,7.87,,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10270,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10271,Last Price(Baht),17.40,18.60,13.50,10.00,10.50,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10272,Market Cap.,1879.20,2008.80,1458.00,1080.00,1134.00,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10273,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10274,P/E,6.31,13.59,19.65,13.77,15.20,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10275,P/BV,0.85,0.88,0.64,0.47,0.50,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10276,Book Value per share (Baht),20.37,21.11,21.22,21.37,20.98,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10277,Dvd. Yield(%),3.45,9.14,5.19,6.00,5.71,TPCORP,Textile Prestige PCL,Consumer Cyclical,Textile Manufacturing,1074.6,6.03,9.95,THB
10278,Assets,3225.18,2830.29,3772.27,4136.63,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10279,Liabilities,1493.53,1202.38,2000.07,2200.80,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10280,Equity,1731.65,1627.91,1772.20,1935.83,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10281,Paid-up Capital,1000.00,1000.00,1000.00,1000.00,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10282,Revenue,2418.35,2472.76,2697.85,2577.23,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10283,Net Profit,178.10,48.86,294.28,513.62,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10284,EPS (Baht),0.18,0.05,0.29,0.51,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10285,ROA(%),7.08,2.68,10.98,14.33,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10286,ROE(%),10.37,2.91,17.31,27.70,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10287,Net Profit Margin(%),7.36,1.98,10.91,19.93,,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10288,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10289,Last Price(Baht),3.24,2.68,2.04,3.28,2.62,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10290,Market Cap.,3240.00,2680.00,2040.00,3280.00,2620.00,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10291,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10292,P/E,16.40,14.90,27.49,5.70,5.10,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10293,P/BV,1.88,1.53,1.22,1.73,1.35,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10294,Book Value per share (Baht),1.72,1.75,1.67,1.90,1.94,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10295,Dvd. Yield(%),4.63,5.60,7.35,7.62,13.36,TAE,Thai Agro Energy PCL,Basic Materials,Chemicals,3300.0,10.61,3.3,THB
10296,Assets,283123.87,280774.55,268721.20,256665.15,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10297,Liabilities,249535.67,248761.75,248264.86,244899.44,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10298,Equity,33501.37,31911.08,20329.04,11659.32,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10299,Paid-up Capital,21827.72,21827.72,21827.72,21827.72,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10300,Revenue,181446.21,190534.63,200585.94,188954.45,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10301,Net Profit,15.14,-2107.35,-11625.17,-12042.41,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10302,EPS (Baht),0.01,-0.97,-5.33,-5.52,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10303,ROA(%),1.34,0.65,-2.58,-2.51,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10304,ROE(%),0.05,-6.44,-44.51,-75.29,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10305,Net Profit Margin(%),0.01,-1.11,-5.80,-6.37,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10306,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10307,Last Price(Baht),22.70,17.30,12.10,6.85,5.70,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10308,Market Cap.,49548.92,37761.95,26411.54,14951.99,12441.80,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10309,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10310,P/E,7.59,,,,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10311,P/BV,1.48,1.27,0.93,1.21,1.07,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10312,Book Value per share (Baht),15.30,13.67,12.95,5.67,5.34,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10313,Dvd. Yield(%),,,,,,THAI,Thai Airways International PCL,Industrials,Airlines,14951.974,-,6.85,THB
10314,Assets,916.21,1141.36,978.15,932.91,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10315,Liabilities,56.11,343.61,177.33,150.02,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10316,Equity,860.10,797.75,800.81,782.88,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10317,Paid-up Capital,639.71,639.71,639.71,639.71,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10318,Revenue,1090.89,1303.42,1336.15,708.07,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10319,Net Profit,8.42,-60.42,4.08,-15.73,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10320,EPS (Baht),0.01,-0.05,-,-0.01,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10321,ROA(%),1.55,-5.64,1.67,-0.89,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10322,ROE(%),0.93,-7.29,0.51,-1.99,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10323,Net Profit Margin(%),0.77,-4.64,0.31,-2.22,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10324,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10325,Last Price(Baht),0.99,0.57,0.41,0.23,0.19,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10326,Market Cap.,1266.62,729.27,524.56,294.27,243.09,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10327,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10328,P/E,147.29,,,,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10329,P/BV,1.48,0.88,0.65,0.37,0.31,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10330,Book Value per share (Baht),0.67,0.65,0.63,0.62,0.61,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10331,Dvd. Yield(%),8.08,,,,,TCC,Thai Capital Corp PCL,Energy,Thermal Coal,281.472,-,0.22,THB
10332,Assets,11307.79,11197.97,11127.35,11031.93,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10333,Liabilities,1571.80,1437.26,1200.62,1098.54,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10334,Equity,9651.60,9672.24,9833.00,9841.47,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10335,Paid-up Capital,1754.14,1754.14,1754.14,1754.14,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10336,Revenue,12680.32,11653.30,10457.76,8921.29,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10337,Net Profit,2305.51,1932.40,1331.14,922.29,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10338,EPS (Baht),3.94,3.30,2.28,1.58,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10339,ROA(%),27.71,21.64,15.28,10.77,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10340,ROE(%),25.80,20.00,13.65,9.38,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10341,Net Profit Margin(%),18.18,16.58,12.73,10.34,,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10342,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10343,Last Price(Baht),34.50,44.00,28.25,20.50,20.40,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10344,Market Cap.,20172.64,25727.42,16518.17,11986.64,11928.17,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10345,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10346,P/E,10.60,11.15,11.88,13.37,12.93,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10347,P/BV,2.21,2.70,1.70,1.23,1.21,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10348,Book Value per share (Baht),15.61,16.31,16.66,16.66,16.83,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10349,Dvd. Yield(%),4.35,7.27,7.08,7.32,5.39,TCCC,Thai Central Chemical PCL,Basic Materials,Agricultural Inputs,11986.638,7.32,20.5,THB
10350,Assets,593.19,609.50,652.74,634.03,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10351,Liabilities,79.52,92.19,110.26,82.45,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10352,Equity,486.98,495.19,520.03,527.88,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10353,Paid-up Capital,105.00,105.00,105.00,105.00,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10354,Revenue,727.67,699.46,744.68,776.64,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10355,Net Profit,44.68,16.64,31.61,7.29,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10356,EPS (Baht),4.26,1.58,3.01,0.69,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10357,ROA(%),8.00,2.11,5.16,1.45,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10358,ROE(%),9.56,3.39,6.23,1.39,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10359,Net Profit Margin(%),6.14,2.38,4.25,0.94,,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10360,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10361,Last Price(Baht),34.75,28.00,28.50,27.00,22.90,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
